排名,中文片名,英文片名,院數,映期,上映日期,平均票房,累積票房,年度
1,美國隊長3 : 英雄內戰,Captain America 3,24,86,2016/04/27,"7,652,852","183,668,450",2016
2,惡棍英雄：死侍,Deadpool,23,80,2016/02/09,"6,200,975","142,622,425",2016
3,屍速列車,Train to Busan,22,78,2016/09/02,"6,047,077","133,035,683",2016
4,怪獸與牠們的產地,Fantastic Beasts and Where to Find Them,24,113,2016/11/17,"4,942,212","118,613,078",2016
5,奇異博士,Doctor Strange,23,108,2016/10/25,"5,049,736","116,143,931",2016
6,動物方城市,Zootopia,21,148,2016/02/26,"5,431,768","114,067,119",2016
7,自殺突擊隊,Suicide Squad,24,91,2016/08/04,"4,479,630","107,511,128",2016
8,你的名字,Your Name.,21,143,2016/10/14,"4,294,335","90,181,036",2016
9,蝙蝠俠對超人：正義曙光,Batman v Superman: Dawn of Justice,24,77,2016/03/25,"3,692,209","88,613,014",2016
10,出神入化2,Now You See Me: The Second Act,20,85,2016/06/08,"4,348,622","86,972,449",2016
11,Ｘ戰警：天啟,X-Men: Apocalypse,24,73,2016/05/17,"3,584,704","86,032,899",2016
12,比利林恩的中場戰事,Billy Lynn's Long Halftime Walk,23,96,2016/11/11,"3,394,515","78,073,842",2016
13,樂來越愛你,La La Land,22,142,2016/12/09,"3,338,913","73,456,091",2016
14,ID4星際重生,Independence Day: Resurgence,25,65,2016/06/22,"2,902,667","72,566,665",2016
15,寵物當家,The Secret Life of Pets,24,82,2016/06/29,"2,608,863","62,612,720",2016
16,神鬼認證：傑森包恩,Jason Bourne,25,64,2016/07/28,"2,331,507","58,287,685",2016
17,海底總動員2：多莉去哪兒,Finding Dory,24,109,2016/07/01,"2,424,563","58,189,510",2016
18,神鬼獵人,The Revenant,22,125,2016/01/08,"2,612,276","57,470,080",2016
19,寒戰2,Cold War 2,22,77,2016/07/08,"2,508,252","55,181,534",2016
20,厲陰宅2,The Conjuring 2: The Enfield Poltergeist,21,77,2016/06/08,"2,564,865","53,862,158",2016
21,魔獸：崛起,Warcraft,24,65,2016/06/08,"2,229,782","53,514,769",2016
22,我就要你好好的,Me Before You,24,90,2016/06/17,"2,199,250","52,782,006",2016
23,會計師,The Accountant,24,110,2016/10/14,"2,152,652","51,663,640",2016
24,全面攻佔2：倫敦救援,London Has Fallen,21,83,2016/03/04,"2,306,975","48,446,484",2016
25,鋼鐵英雄,Hacksaw Ridge,23,137,2016/11/25,"1,973,087","45,381,011",2016
26,單身啪啪啪,How to Be Single,17,73,2016/02/08,"2,645,199","44,968,383",2016
27,怪奇孤兒院,Miss Peregrine's Home for Peculiar Children,25,79,2016/09/27,"1,795,242","44,881,044",2016
28,薩利機長：哈德遜奇蹟,Sully,25,80,2016/09/08,"1,726,373","43,159,315",2016
29,樓下的房客,The Tenants Downstairs,21,92,2016/08/05,"2,014,663","42,307,922",2016
30,神隱任務：永不回頭,Jack Reacher: Never Go Back,24,69,2016/10/21,"1,754,552","42,109,247",2016
31,長城,The Great Wall,25,64,2016/12/29,"1,678,273","41,956,829",2016
32,大尾鱸鰻2,David Loman 2,22,36,2016/02/05,"1,715,968","37,751,287",2016
33,地獄,Inferno,20,78,2016/10/12,"1,846,623","36,932,463",2016
34,星際大戰外傳：俠盜一號,Rogue One: A Star Wars Story,24,64,2016/12/14,"1,534,260","36,822,231",2016
35,刺客教條,Assassin’s Creed,23,64,2016/12/28,"1,462,545","33,638,531",2016
36,丹麥女孩,The Danish Girl,21,70,2016/02/12,"1,579,029","33,159,616",2016
37,與森林共舞,The Jungle Book,23,92,2016/04/15,"1,427,345","32,828,935",2016
38,星際過客,Passengers,24,69,2016/12/21,"1,265,785","30,378,838",2016
39,星際爭霸戰：浩瀚無垠,Star Trek Beyond,23,57,2016/07/21,"1,243,893","28,609,543",2016
40,泰山傳奇,The Legend of Tarzan,22,59,2016/06/29,"1,294,241","28,473,307",2016
41,極速秒殺2,Mechanic: Resurrection,23,64,2016/08/25,"1,237,470","28,461,816",2016
42,分歧者3：赤誠者,The Divergent Series: Allegiant,18,70,2016/03/18,"1,508,462","27,152,307",2016
43,狩獵者：凜冬之戰,The Huntsman Winter's War,24,56,2016/04/08,"1,097,737","26,345,685",2016
44,歡樂好聲音,Sing,23,85,2016/12/09,"1,065,744","24,512,120",2016
45,新世紀福爾摩斯－地獄新娘,Sherlock The Abominable Bride,15,40,2016/01/07,"1,627,016","24,405,239",2016
46,荷魯斯之眼：王者爭霸,Gods of Egypt,18,68,2016/02/26,"1,323,753","23,827,561",2016
47,忍者龜：破影而出,Teenage Mutant Ninja Turtles: Out of the Shadows,25,55,2016/06/03,"950,063","23,751,585",2016
48,名偵探柯南：純黑的惡夢,Conan the Movie vol. 20 - The Darkest Nightmare,17,62,2016/07/29,"1,332,409","22,650,956",2016
49,魔鏡夢遊：時光怪客,Alice Through the Looking Glass,22,61,2016/05/27,"957,610","21,067,420",2016
50,功夫熊貓3,Kung Fu Panda 3,22,71,2016/03/25,"930,219","20,464,813",2016
51,六弄咖啡館,At Cafe 6,22,82,2016/07/08,"923,766","20,322,849",2016
52,擺渡人,See You Tomorrow,21,95,2016/12/23,"925,603","19,437,667",2016
53,恐龍當家,The Good Dinosaur,20,56,2016/02/05,"955,988","19,119,764",2016
54,最美的安排,Collateral Beauty,26,74,2016/12/15,"727,758","18,921,713",2016
55,阿公歐買尬,Dirty Grandpa,17,42,2016/01/22,"1,101,340","18,722,782",2016
56,冰原歷險記：笑星撞地球,Ice Age: Collision Course,23,63,2016/07/22,"803,299","18,475,875",2016
57,飛躍奇蹟,Eddie the Eagle,21,81,2016/04/01,"865,651","18,178,669",2016
58,13小時：班加西的秘密士兵,13 Hours: The Secret Soldiers of Benghazi,22,56,2016/01/29,"817,774","17,991,030",2016
59,魔鬼剋星,Ghostbusters,23,63,2016/07/14,"774,455","17,812,476",2016
60,走音天后,Florence Foster Jenkins,21,87,2016/05/20,"836,614","17,568,891",2016
61,鬼關燈,Lights Out,20,57,2016/07/21,"852,267","17,045,343",2016
62,怒火地平線,Deepwater Horizon,21,50,2016/10/06,"779,139","16,361,911",2016
63,大賣空,The Big Short,21,71,2016/01/15,"771,273","16,196,740",2016
64,暫時停止呼吸,Don't Breathe,16,51,2016/09/27,"1,008,753","16,140,053",2016
65,決戰異世界：嗜血之戰,Underworld: Blood Wars,24,71,2016/12/01,"660,510","15,852,231",2016
66,金錢怪獸,Money Monster,23,71,2016/05/13,"679,824","15,635,947",2016
67,第五毀滅,The 5th Wave,22,29,2016/01/21,"697,352","15,341,747",2016
68,惡鄰纏身2,Neighbors 2: Sorority Rising,20,54,2016/05/06,"738,386","14,767,728",2016
69,吹夢巨人,The BFG,24,87,2016/08/11,"612,852","14,708,442",2016
70,惱爸偏頭痛,Why Him?,18,55,2016/12/23,"799,827","14,396,884",2016
71,中央情爆員,Central Intelligence,20,48,2016/07/15,"678,231","13,564,628",2016
72,列車上的女孩,The Girl on the Train,21,57,2016/10/07,"614,080","12,895,674",2016
73,危城,Call of Heroes,21,58,2016/08/19,"609,818","12,806,188",2016
74,換腦行動,Criminal,18,67,2016/04/15,"683,317","12,299,708",2016
75,驚爆焦點,Spotlight,18,80,2016/02/19,"671,165","12,080,967",2016
76,賓漢,Ben-Hur,25,55,2016/08/18,"476,564","11,914,099",2016
77,科洛弗10號地窖,10 Cloverfield Lane,20,49,2016/04/01,"592,927","11,858,536",2016
78,絕命救援,The Finest Hours,22,56,2016/03/11,"538,827","11,854,186",2016
79,神鬼駭客：史諾登,Snowden,20,53,2016/09/23,"576,797","11,535,937",2016
80,送子鳥,Storks,19,62,2016/10/07,"603,747","11,471,196",2016
81,BJ有喜,Bridget Jones's Baby,23,58,2016/09/14,"465,065","10,696,494",2016
82,憤怒鳥玩電影,Angry Birds,19,37,2016/06/08,"552,416","10,495,900",2016
83,不存在的房間,Room,11,100,2016/02/26,"875,017","9,625,186",2016
84,玩命直播,Nerve,16,56,2016/09/09,"584,523","9,352,361",2016
85,我的蛋男情人,My Egg Boy,25,47,2016/09/23,"351,676","8,791,905",2016
86,國定殺戮日：大選之年,The Purge: Election Year,15,41,2016/07/08,"558,886","8,383,284",2016
87,絕鯊島,The Shallows,18,48,2016/08/18,"454,661","8,183,901",2016
88,電影版妖怪手錶：誕生的秘密喵！,"Yo-Kai Watch the Movie: The Secret is Created, Nya",15,48,2016/01/29,"513,059","7,695,886",2016
89,人生按個讚,Like Life,16,37,2016/02/05,"460,345","7,365,517",2016
90,特工爺爺,The Bodyguard,16,26,2016/04/01,"439,492","7,031,873",2016
91,北京遇上西雅圖之不2情書,Finding Mr. Right 2,13,62,2016/05/13,"536,389","6,973,060",2016
92,航海王劇場版：Gold,ONE PIECE FILM GOLD,16,28,2016/08/19,"433,060","6,928,967",2016
93,非死不可,Friend Request,12,70,2016/04/22,"569,627","6,835,526",2016
94,碟仙：惡靈始源,Ouija: Origin of Evil,14,41,2016/10/21,"480,289","6,724,050",2016
95,單身動物園,The Lobster,8,52,2016/03/11,"830,879","6,647,029",2016
96,少女與戰車劇場版,Girls und Panzer the Movie,2,91,2016/05/13,"3,283,686","6,567,371",2016
97,絕地7騎士,The Magnificent Seven,18,42,2016/10/07,"356,379","6,414,817",2016
